Tool;Food;Plant;Animal
    'axe';beer';    'apricot';  'alligator'
    'ball';    'bread';    'asparagus';    'ant'
    'baseball';    'cheese';    'banana';    'bee'
    'camera';    'chocolate';    'blueberry';    'bird'
    'cash';    'coffee';    'broccoli';    'butterfly'
    'cellphone';    'gum';    'cabbage';    'camel'
    'comb';    'ham';    'carrot';    'cheetah'
    'corkscrew';    'honey';    'cherry';    'chicken'
    'dime';    'jam';    'chestnut';    'chipmunk'
    'faucet';    'ketchup';    'corn';    'crow'
    'football';    'lemonade';    'cranberry';    'dog'
    'glass';    'medicine';    'cucumber';    'dolphin'
    'hairbrush';    'mustard';    'dandelion';    'duck'
    'hoe';    'pie';    'eggplant';    'elephant'
    'key';    'rum';    'elm';    'fish'
    'keyboard';    'spaghetti';    'flower';    'goldfish'
    'megaphone';    'tea';    'ivy';    'hamster'
    'pan';    'tobacco';    'mushroom';    'hawk'
    'pen';;    'oak';    'horse'
    'pencil';;    'pea';    'monkey'
    'rake';;    'pineapple';    'moose'
    'sandpaper';;    'plum';    'mosquito'
    'scissors';;    'pumpkin';    'mouse'
    'spatula';;    'radish';    'penguin'
    'stapler';;    'raspberry';    'pig'
    'toaster';;    'rose';    'salmon'
    'umbrella';;    'tangerine';    'snake'
;;    'tomato';    'tiger'
;;    'tree';    'turtle'
;;    'tulip';    'whale'
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
